dept,endsite,time,m,w,num
6,260,2016-04-28,4,4,38
6,260,2016-04-29,4,5,74
6,260,2016-04-30,4,6,82
6,260,2016-05-01,5,7,65
6,260,2016-05-02,5,1,147
6,260,2016-05-03,5,2,53
6,260,2016-05-04,5,3,36
6,260,2016-05-05,5,4,40
6,260,2016-05-06,5,5,36
6,260,2016-05-07,5,6,28
6,260,2016-05-08,5,7,29
6,260,2016-05-09,5,1,26
6,260,2016-05-10,5,2,39
6,260,2016-05-11,5,3,39
6,260,2016-05-12,5,4,35
6,260,2016-05-13,5,5,44
6,260,2016-05-14,5,6,28
6,260,2016-05-15,5,7,47
6,260,2016-05-16,5,1,39
6,260,2016-05-17,5,2,51
6,260,2016-05-18,5,3,23
6,260,2016-05-19,5,4,34
6,260,2016-05-20,5,5,35
6,260,2016-05-21,5,6,44
6,260,2016-05-22,5,7,32
6,260,2016-05-23,5,1,29
6,260,2016-05-24,5,2,27
6,260,2016-05-25,5,3,37
6,260,2016-05-26,5,4,25
6,260,2016-05-27,5,5,42
6,260,2016-05-28,5,6,30
6,260,2016-05-29,5,7,38
6,260,2016-05-30,5,1,22
6,260,2016-05-31,5,2,41
7,260,2016-01-01,1,5,700
7,260,2016-01-02,1,6,443
7,260,2016-01-03,1,7,532
7,260,2016-01-04,1,1,364
7,260,2016-01-05,1,2,268
7,260,2016-01-06,1,3,328
7,260,2016-01-07,1,4,355
7,260,2016-01-08,1,5,414
7,260,2016-01-09,1,6,406
7,260,2016-01-10,1,7,376
7,260,2016-01-11,1,1,372
7,260,2016-01-12,1,2,389
7,260,2016-01-13,1,3,415
7,260,2016-01-14,1,4,448
7,260,2016-01-15,1,5,514
7,260,2016-01-16,1,6,554
7,260,2016-01-17,1,7,387
7,260,2016-01-18,1,1,490
7,260,2016-01-19,1,2,405
7,260,2016-01-20,1,3,485
7,260,2016-01-21,1,4,439
7,260,2016-01-22,1,5,408
7,260,2016-01-23,1,6,429
7,260,2016-01-24,1,7,456
7,260,2016-01-25,1,1,511
7,260,2016-01-26,1,2,513
7,260,2016-01-27,1,3,525
7,260,2016-01-28,1,4,662
7,260,2016-01-29,1,5,680
7,260,2016-01-30,1,6,715
7,260,2016-01-31,1,7,687
7,260,2016-02-01,2,1,797
7,260,2016-02-02,2,2,731
7,260,2016-02-03,2,3,846
7,260,2016-02-04,2,4,828
7,260,2016-02-05,2,5,872
7,260,2016-02-06,2,6,746
7,260,2016-02-07,2,7,322
7,260,2016-02-08,2,1,163
7,260,2016-02-09,2,2,257
7,260,2016-02-10,2,3,295
7,260,2016-02-11,2,4,346
7,260,2016-02-12,2,5,336
7,260,2016-02-13,2,6,373
7,260,2016-02-14,2,7,432
7,260,2016-02-15,2,1,412
7,260,2016-02-16,2,2,377
7,260,2016-02-17,2,3,366
7,260,2016-02-18,2,4,372
7,260,2016-02-19,2,5,336
